word,freq
Love,60
Liebe,30
ፍቅር,15
Lufu,15
حب,25
Aimor,15
Amor,25
Heyran,25
ভালোবাসা,15
Каханне,20
Любоў,15
Любов,25
བརྩེ་དུང་།,20
Ljubav,25
Karantez,20
Юрату,15
Láska,15
Amore,25
Cariad,15
Kærlighed,25
Armastus,25
Αγάπη,15
Amo,15
Amol,20
Maitasun,15
عشق,15
Pyar,20
Amour,25
Leafde,15
Gràdh,15
愛,15
爱,25
પ્રેમ,20
사랑,20
Սեր,15
Ihunanya,15
Cinta,15
ᑕᑯᑦᓱᒍᓱᑉᐳᖅ,15
Ást,15
אהבה,20
ಪ್ರೀತಿ,20
სიყვარული,25
Махаббат,15
Pendo,25
Сүйүү,25
Mīlestība,15
Meilė,25
Leefde,20
Bolingo,20
Szerelem,25
Љубов,15
സ്നേഹം,20
Imħabba,20
प्रेम,20
Ái,20
Хайр,15
အချစ်,25
Tlazohtiliztli,15
Liefde,15
माया,15
मतिना,20
Kjærlighet,25
Kjærleik,20
ପ୍ରେମ,15
Sevgi,15
ਪਿਆਰ,20
پیار,25
Miłość,25
Leevde,20
Dragoste,25
Khuyay,15
Любовь,25
Таптал,25
Dashuria,20
Amuri,25
ආදරය,15
Ljubezen,15
Jaceyl,20
خۆشەویستی,20
Љубав,20
Rakkaus,15
Kärlek,20
Pag-ibig,20
காதல்,25
ప్రేమ,25
ความรัก,15
Ишқ,25
Aşk,20
محبت,15
Tình yêu,15
Higugma,25
ליבע,25
